"","Type.of.feeding.interaction","Predator.lifestage","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","insectivorous","larva / juvenile",0.125577629410637,0.0964302170576586,0.736377271193123,4.3083628793485,0.0465944025225442,1,-34.5810104889468,75.1620209778937,79.5592286862928,16.2675445658949,30,32
"2","piscivorous","adult",0.0762549666793181,0.0762027717966579,0.955857142270483,1460.96633985589,3.21527852226076e-307,1,-24315.1134465508,48636.2268931017,48659.5708528574,16170.0055870492,17698,17700
"3","piscivorous","juvenile",0.0715818776775037,0.0712751653807339,0.356812490044189,233.384440178493,8.16786748029422e-51,1,-1175.44406598874,2356.88813197748,2374.93609541056,385.382968286994,3027,3029
"4","piscivorous","larva / juvenile",0.502262057547569,0.446957841719521,0.671466755485412,9.08180416316188,0.0146301686798565,1,-10.1234365472807,26.2468730945615,27.4405589129566,4.05780843349896,9,11
"5","piscivorous","postlarva",0.0389698693052271,0.00796889734733119,0.337397786220465,1.25705314524184,0.270820006991041,1,-9.93912758953473,25.8782551790695,30.3677778634689,3.52895525054059,31,33
"6","piscivorous","postlarva/juvenile",0,0,0.0577494436655484,NA,NA,NA,3.55855324039787,-3.11710648079574,-5.73081211967585,0.00333499824368035,1,2
"7","planktivorous","adult",0.224199133583999,0.219226051106973,1.09899203126651,45.0825287172977,3.31771921399376e-10,1,-238.100066280968,482.200132561937,491.387917661018,188.414223626816,156,158
"8","planktivorous","juvenile",1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2
"9","planktivorous","larva",0.0876722735852068,0.0867804576258571,0.825900079875917,98.3075854003907,3.45409437932697e-22,1,-1257.34750116611,2520.69500233222,2535.49234600694,697.799493603643,1023,1025
"10","planktivorous","larva / juvenile",0.2383099678989,0.231854967626857,0.58825258444882,36.9186611704769,1.55071505486177e-08,1,-105.592333933839,217.184667867678,225.547143096024,40.8328501670645,118,120
"11","planktivorous","postlarva/juvenile",0.23123878538831,0.228304582279105,0.458181694193024,78.8080363840143,1.10590667174241e-16,1,-167.546747857228,341.093495714456,351.821343023895,55.0017818021206,262,264
"12","predacious","adult",0.146129065719437,0.146021376107344,0.895978330166431,1356.94671825977,2.36661210564926e-274,1,-10381.4678642287,20768.9357284573,20789.8713316876,6365.22016608554,7929,7931
"13","predacious","juvenile",0.628987013196308,0.628810340345449,1.19018210660821,3560.17922469959,0,1,-3347.57981838431,6701.15963676863,6718.11157042294,2974.72023846974,2100,2102
"14","predacious","larva",0.114146688218641,0.113414578043615,0.633754676015445,155.914631584789,9.61358023701449e-34,1,-1165.96754117242,2337.93508234485,2353.23516384473,485.990437139444,1210,1212
"15","predacious","larva / juvenile",0.423997091277262,0.422809456413916,0.736969885912852,357.009636853166,4.43552228318592e-60,1,-541.384589872169,1088.76917974434,1101.33397211359,263.415437180065,485,487
"16","predacious","postlarva",0.109207422360889,0.0964818141089013,0.333814529995917,8.58170550266892,0.00458060708606847,1,-22.1532015647986,50.3064031295972,57.1364014866454,7.80024983054767,70,72
"17","predacious","postlarva/juvenile",0.14416882005629,0.142713324852304,0.431910170052589,99.0513879135298,1.13623625842986e-21,1,-340.844821123819,687.689642247639,700.830009858338,109.689280256976,588,590
"18","predacious/piscivorous","adult",0.341154098535761,0.337010413620891,0.435770964141253,82.3310906945516,4.19117303972455e-16,1,-93.7100446165374,193.420089233075,202.664302328028,30.1935169769869,159,161
